title	type	url_slug	venue	date	location	talk_url	description
A genetic algorithm hybridisation scheme for effective use of parallel workers	Conference Proceedings Talk	gecco	Genetic and Evolutionary Computation Conference (GECCO)	2019-07-16	Prague, Czech Republic		Exploring ways to combine local search with crossover in genetic algorithms to best leverage the capacity of a parallel system.
Optimising Crop Rotation Schedules: Julia/JuMP	Tutorial	amsi	AMSI Optimise	2019-06-19	Perth, Australia	https://github.com/simonbowly/AMSI-2019-Crop-Rotation	
